player_name,avg_fastball_velo,total_pitches,fastball_count,fastball_pct,archetype,hits,strikeouts,outs,total_events,hit_rate,k_rate,out_minus_hit,run_prevention,out_rate,damage_rate
"Peguero, Elvis",97.04285714285713,11,7.0,0.6363636363636364,Power Fastball,1,5,4,11,0.09090909090909091,0.45454545454545453,3,0.2727272727272727,0.36363636363636365,0.09090909090909091
"Pepiot, Ryan",94.5,44,25.0,0.5681818181818182,Balanced,7,14,19,44,0.1590909090909091,0.3181818181818182,12,0.2727272727272727,0.4318181818181818,0.1590909090909091
"Peralta, Freddy",94.60588235294118,24,17.0,0.7083333333333334,Balanced,4,7,10,24,0.16666666666666666,0.2916666666666667,6,0.25,0.4166666666666667,0.16666666666666666
"Peralta, Wandy",95.14999999999999,10,6.0,0.6,Power Fastball,0,1,6,10,0.0,0.1,6,0.6,0.6,0.0
"Pfaadt, Brandon",92.56428571428572,27,14.0,0.5185185185185185,Balanced,8,7,10,27,0.2962962962962963,0.25925925925925924,2,0.07407407407407407,0.37037037037037035,0.2962962962962963
"Phillips, Evan",93.72,11,5.0,0.45454545454545453,Balanced,3,3,4,11,0.2727272727272727,0.2727272727272727,1,0.09090909090909091,0.36363636363636365,0.2727272727272727
"Pinto, Ricardo",90.84545454545454,18,11.0,0.6111111111111112,Balanced,5,4,8,18,0.2777777777777778,0.2222222222222222,3,0.16666666666666666,0.4444444444444444,0.2777777777777778
"Pivetta, Nick",90.92666666666668,20,15.0,0.75,Balanced,5,3,11,20,0.25,0.15,6,0.3,0.55,0.25
"Poche, Colin",89.67,11,10.0,0.9090909090909091,Balanced,3,2,6,11,0.2727272727272727,0.18181818181818182,3,0.2727272727272727,0.5454545454545454,0.2727272727272727
"Pressly, Ryan",94.2,10,3.0,0.3,Offspeed Heavy,5,2,3,10,0.5,0.2,-2,-0.2,0.3,0.5
"Puk, A.J.",94.42307692307692,21,13.0,0.6190476190476191,Balanced,5,5,7,21,0.23809523809523808,0.23809523809523808,2,0.09523809523809523,0.3333333333333333,0.23809523809523808
"Pérez, Martín",89.69999999999999,28,18.0,0.6428571428571429,Balanced,6,6,13,28,0.21428571428571427,0.21428571428571427,7,0.25,0.4642857142857143,0.21428571428571427
"Quantrill, Cal",90.10000000000001,19,14.0,0.7368421052631579,Balanced,4,3,8,19,0.21052631578947367,0.15789473684210525,4,0.21052631578947367,0.42105263157894735,0.21052631578947367
"Quintana, Jose",89.36111111111111,26,18.0,0.6923076923076923,Balanced,5,4,13,26,0.19230769230769232,0.15384615384615385,8,0.3076923076923077,0.5,0.19230769230769232
"Ragans, Cole",95.72999999999999,22,10.0,0.45454545454545453,Balanced,1,7,12,22,0.045454545454545456,0.3181818181818182,11,0.5,0.5454545454545454,0.045454545454545456
"Rainey, Tanner",93.62222222222222,18,9.0,0.5,Balanced,5,4,4,18,0.2777777777777778,0.2222222222222222,-1,-0.05555555555555555,0.2222222222222222,0.2777777777777778
"Raley, Brooks",85.03333333333333,13,3.0,0.23076923076923078,Offspeed Heavy,1,2,7,13,0.07692307692307693,0.15384615384615385,6,0.46153846153846156,0.5384615384615384,0.07692307692307693
"Ramírez, Yohan",94.14,13,5.0,0.38461538461538464,Offspeed Heavy,4,3,4,13,0.3076923076923077,0.23076923076923078,0,0.0,0.3076923076923077,0.3076923076923077
"Rea, Colin",89.51,25,20.0,0.8,Balanced,7,3,15,25,0.28,0.12,8,0.32,0.6,0.28
"Richards, Trevor",92.05,13,2.0,0.15384615384615385,Offspeed Heavy,0,7,4,13,0.0,0.5384615384615384,4,0.3076923076923077,0.3076923076923077,0.0
"Robertson, David",94.85,14,2.0,0.14285714285714285,Offspeed Heavy,2,4,7,14,0.14285714285714285,0.2857142857142857,5,0.35714285714285715,0.5,0.14285714285714285
"Rodriguez, Grayson",95.56923076923077,27,13.0,0.48148148148148145,Balanced,6,7,12,27,0.2222222222222222,0.25925925925925924,6,0.2222222222222222,0.4444444444444444,0.2222222222222222
"Rodríguez, Joely",89.55,3,2.0,0.6666666666666666,Balanced,1,0,2,3,0.3333333333333333,0.0,1,0.3333333333333333,0.6666666666666666,0.3333333333333333
"Rodríguez, Yerry",96.51428571428572,12,7.0,0.5833333333333334,Power Fastball,3,2,6,12,0.25,0.16666666666666666,3,0.25,0.5,0.25
